#;Código;Nombre genérico;Nombre comercial;Presentación
155;102074301;GLICERIL TRINITRATO (NITROGLICERINA) 5mg/ml, solución, I.V.;NITROGLICERINA 5- MG /1- ML SOLUCION INYECTABLE INFUSION I.V.;Vial/Ampolla
156;101072701;GLICLAZIDA 80mg, tableta, V.O.;Gliclazida 8- MP Comprimidos | LMG-UPGLUCE 8- TABLETAS | LMG-GLUCEUP 8- MG TABLETAS;Pastilla - Cápsula
157;102099201;GOSERELINA 10.8mg, S.C.;Zoladex LA 1-.8mg Implante S.C.;Vial/Ampolla
158;102040101;HALOPERIDOL 5mg/ml, solución, I.M.;ALOPERIDOL 5 MG/ ML SOLUCIÓN INYECTABLE | HALOPERIDOL 5MG/ML SOLUCIÓN INYECTABLE | HALOPERIL 5MG/ML SOLUCION INYECTABLE I.M. I.V.;Vial/Ampolla
159;102092101;HEPARINA BAJO PESO MOLECULAR (ENOXAPARINA SÓDICA), ACTIVIDAD ANTI-Xa 8,000UI, solución, jeringa prellenada, 0.8ml, S.C.;Enoxaparina 1--mg/ml Sandoz solución inyectable en jeringa precargada I.V. S.C. | CRUSIA (ENOXAPARINA SÓDICA) SOLUCION INYECTABLE S.C., I.V., LINEA ARTERIAL (HEMODIALISIS).EN JERINGA PRELLENADA | CLENOX (2-MG/-.2ML, 4-MG/-.4ML, 6-MG/-.6ML, 8-MG/-.8ML) SOLUCION INYECTABLE S.C, .I.V, LINEA ARTERIAL (HEMODIALISIS) | CLEXANE (2- MG/-.2 ML, 4- MG/-.4 ML, 6- MG/-.6 ML, 8- MG/-.8 ML) SOLUCIÓN INYECTABLE;Vial/Ampolla
160;102077301;HEPARINA DE BAJO PESO MOLECULAR, CON ACTIVIDAD ANTI-Xa  2,500-4,000UI, solución, jeringa prellenada, S.C.;Enoxaparina 1--mg/ml Sandoz solución inyectable en jeringa precargada I.V. S.C. | CRUSIA (ENOXAPARINA SÓDICA) SOLUCION INYECTABLE S.C., I.V., LINEA ARTERIAL (HEMODIALISIS).EN JERINGA PRELLENADA | CLENOX (2-MG/-.2ML, 4-MG/-.4ML, 6-MG/-.6ML, 8-MG/-.8ML) SOLUCION INYECTABLE S.C, .I.V, LINEA ARTERIAL (HEMODIALISIS) | BADYKET 35--UI/-.2ML SOLUCION INYECTABLE S.C. JERINGAS PRECARGADAS;Vial/Ampolla
161;102053201;HEPARINA SÓDICA 5,000UI/ml, solución, I.V., S.C.;INHEPAR 5--- UI/ML SOLUCION INYECTABLE I.V., S.C. | Heparina Sodica 5,--- UI/ML Solución Inyectable I.V., S.C. | Heparina Sódica 5--- UI/mL Solución Inyectable | Heparina Sodica 5,--- UI/ML Solución Inyectable I.V., S.C;Vial/Ampolla
162;102041301;HIDRALAZINA CLORHIDRATO 20mg/ml, polvo o solución, I.M., I.V.;FLAGASOLINA 2- MG SOLUCIÓN INYECTABLE I.M., I.V. | HIDRALAZINA CLORHIDRATO 2-MG/1ML SOLUCIÓN INYECTABLE I.V. | Hidralazina Hidrocloruro inyección 2- mg/ml;Vial/Ampolla
163;101030701;HIDROCLOROTIAZIDA 25mg con TRIAMTERENO 50mg, tableta ranurada, V.O.;DIURESTEN COMPRIMIDOS | TRIACIL COMPRIMIDOS;Pastilla - Cápsula
164;102019101;HIDROCORTISONA SUCCINATO SÓDICO 50mg/ml, polvo liofilizado, I.M., I.V.;HIDROCORTISONA KLONAL 1--MG POLVO PARA SOLUCION INYECTABLE I.M,I.V | HIDROCORTISONA 1-- MG POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE I.M., I.V. | HYBRU-1-- POLVO LIOFILIZABLE PARA SOLUCION INYECTABLE;Vial/Ampolla
165;101071701;HIDROXICARBAMIDA (HIDROXIUREA) 500mg, cápsula, V.O.;HYDMOXIA 5-- MG CAPSULAS DURAS | HIDROXIUREA USP 5--MG CÁPSULAS;Pastilla - Cápsula
166;101023201;HIDROXICLOROQUINA SULFATO 400mg, tableta, V.O.;PLAQUINOL 4-- MG TABLETAS RECUBIERTAS.;Pastilla - Cápsula
167;102079001;HIERRO NO DEXTRÁN 10-20mg/ml, solución, I.V.;VENOFER, 1--MG./5ML. SOLUCION INYECTABLE I.V. | VENOFER 1--MG/5ML SOLUCIÓN INYECTABLE I.V. | GLIRRON 1-- MG/ 5ML SOLUCION INYECTABLE | HIERRO SACAROSA 1--mg/5ml SOLUCION INYECTABLE;Vial/Ampolla
